dt,res_id,menu_opens,cart_built
20250310,37495575,101,58
20250313,42703007,102,19
20250313,38067419,220,101
20250305,37495575,124,71
20250317,39817143,319,123
20250309,38328679,318,148
20250306,38010541,51,17
20250321,37494909,178,57
20250320,38925849,100,47
20250323,38010541,70,15
20250311,39817143,363,114
20250313,39817143,296,90
20250305,41022009,71,11
20250318,41022009,71,14
20250317,42703007,81,18
20250320,38274987,32,18
20250303,38198091,111,35
20250312,38925849,81,28
20250311,38925849,67,23
20250315,37988541,490,151
20250306,37848835,111,64
20250319,38198091,118,41
20250303,38925849,70,19
20250319,42278219,60,13
20250304,38010541,52,17
20250322,41022009,79,23
20250310,37494909,130,45
20250321,40692965,10,1
20250306,38274987,20,11
20250317,37848835,105,54
20250312,37848835,108,61
20250320,39817143,310,85
20250310,38673377,74,27
20250311,41022009,57,15
20250314,37494909,447,190
20250310,37495179,40,19
20250310,37848835,86,46
20250311,37495575,112,56
20250306,39817143,364,159
20250308,37495179,80,39
20250305,37848835,93,53
20250303,38274987,27,14
20250303,42278219,73,13
20250309,42278219,101,19
20250314,39817143,465,118
20250319,37848835,128,62
20250304,37988541,529,166
20250310,38067419,178,75
20250309,38198091,134,68
20250316,38010541,72,27
20250318,37495179,47,21
20250315,37495179,43,24
20250312,38274987,38,24
20250304,42278219,83,22
20250305,39817143,323,121
20250314,37848835,36,0
20250311,40692965,6,1
20250308,37848835,112,60
20250323,37848835,151,62
20250308,38328679,226,107
20250308,37494909,220,86
20250323,40692965,15,2
20250307,38673377,74,32
20250311,38274987,31,15
20250315,38673377,74,28
20250307,37495179,57,27
20250305,38010541,52,25
20250306,38198091,116,35
20250323,39817143,350,103
20250306,42703007,108,18
20250310,38010541,34,12
20250321,38673377,84,31
20250311,37988541,530,158
20250311,42278219,76,20
20250307,41022009,81,24
20250310,39817143,365,120
20250313,37495575,131,60
20250305,38067419,201,93
20250310,38274987,41,24
20250304,38274987,22,9
20250313,38673377,56,19
20250322,42278219,89,15
20250306,37494909,156,64
20250306,38328679,176,86
20250317,37494909,161,60
20250308,42278219,95,31
20250316,38198091,150,55
20250317,38067419,193,89
20250323,37988541,807,214
20250307,38328679,230,105
20250305,38274987,32,18
20250316,37988541,795,276
20250305,38198091,115,38
20250322,37494909,199,82
20250322,38328679,228,87
20250309,37494909,394,163
20250323,38328679,302,112
20250313,37988541,526,181
20250308,38274987,46,21
20250320,37495179,36,21
20250307,37495575,134,68
20250323,37494909,294,119
20250312,40692965,12,1
20250318,38198091,119,34
20250318,38274987,10,3
20250315,38198091,102,34
20250316,37494909,270,122
20250316,38925849,96,41
20250320,41022009,55,18
20250304,40692965,6,1
20250317,37495575,119,49
20250317,41022009,50,11
20250313,42278219,73,26
20250312,38067419,244,109
20250312,39817143,363,101
20250322,38274987,46,20
20250316,38328679,277,119
20250321,38198091,104,48
20250304,38925849,70,15
20250316,42278219,74,18
20250313,38328679,176,89
20250315,42278219,78,12
20250318,37848835,83,50
20250309,38067419,328,132
20250316,39817143,392,125
20250304,38328679,189,91
20250310,38328679,178,85
20250321,37988541,461,136
20250305,38328679,220,92
20250304,37848835,85,34
20250304,38673377,66,27
20250323,38925849,107,39
20250321,39817143,304,80
20250312,38328679,204,97
20250318,39817143,308,96
20250313,38198091,152,43
20250320,37988541,453,155
20250303,38010541,34,20
20250321,37848835,96,56
20250307,42278219,70,16
20250312,37494909,145,59
20250318,38673377,69,30
20250319,38067419,230,104
20250315,39817143,350,107
20250307,39817143,387,153
20250303,37494909,171,62
20250304,41022009,66,12
20250320,42703007,95,10
20250314,38274987,45,20
20250310,42703007,105,15
20250315,41022009,63,18
20250318,42278219,71,14
20250309,38274987,49,26
20250317,42278219,62,17
20250321,41022009,73,16
20250308,42703007,192,34
20250314,38067419,387,151
20250314,42703007,133,15
20250304,37495575,22,2
20250318,40692965,8,0
20250319,38274987,4,1
20250321,37495575,114,58
20250321,42278219,87,11
20250319,37494909,172,83
20250308,40692965,16,3
20250305,38925849,70,23
20250304,38198091,116,38
20250303,37848835,93,52
20250310,38198091,101,31
20250306,42278219,84,22
20250312,37495179,46,22
20250306,37988541,464,154
20250321,38274987,30,15
20250309,40692965,9,1
20250318,37495575,134,73
20250311,38010541,46,19
20250311,37495179,43,20
20250316,38274987,31,12
20250319,38328679,230,114
20250313,37495179,49,24
20250314,38010541,197,69
20250304,37494909,170,71
20250308,41022009,110,25
20250307,38274987,36,19
20250310,38925849,52,15
20250317,38673377,71,25
20250313,37848835,91,38
20250319,38010541,49,15
20250320,38673377,65,26
20250315,38925849,79,34
20250303,41022009,33,6
20250321,42703007,93,18
20250305,42278219,73,9
20250318,42703007,90,14
20250319,38673377,74,36
20250314,37495575,363,166
20250314,38673377,208,74
20250306,40692965,8,0
20250318,38067419,223,85
20250311,38328679,196,78
20250320,42278219,69,17
20250304,42703007,107,18
20250313,37494909,166,68
20250317,38328679,191,89
20250315,38067419,203,98
20250322,37495179,46,25
20250321,38328679,214,98
20250316,37495179,61,31
20250313,40692965,11,1
20250315,38328679,203,86
20250312,42278219,64,18
20250323,38198091,132,39
20250319,40692965,16,4
20250312,37988541,490,161
20250306,38067419,194,86
20250322,37988541,564,164
20250308,38010541,55,20
20250319,42703007,93,16
20250308,37988541,623,202
20250323,42278219,84,23
20250322,38010541,37,12
20250316,41022009,96,23
20250309,37988541,972,331
20250309,42703007,113,18
20250303,42703007,98,18
20250307,38925849,77,25
20250309,38010541,63,25
20250320,38328679,181,88
20250323,38673377,142,39
20250318,38925849,81,38
20250316,37495575,208,100
20250314,37988541,1133,356
20250317,38274987,30,15
20250322,37495575,113,52
20250316,42703007,106,15
20250323,41022009,105,25
20250308,37495575,128,84
20250309,37495575,168,75
20250316,38673377,138,51
20250309,41022009,135,35
20250323,37495575,169,75
20250317,40692965,5,1
20250307,38067419,187,89
20250308,38673377,94,40
20250307,37494909,176,58
20250314,42278219,113,17
20250322,38673377,67,21
